Magnitude,Cleaned,Frequency [1/hour],intraday,overnight,monthly,seasonal
103233.79172734,0,0.429801029612602,10859728411.3432,0,0,0
1298295.16024534,0,0.429812445007402,10859728411.3432,0,0,0
978181.48791821,0,0.429823860402202,10859728411.3432,0,0,0
1692034.93976745,0,0.429835275797002,10859728411.3432,0,0,0
756148.011299334,0,0.429846691191802,10859728411.3432,0,0,0
756036.589869209,0,0.429858106586602,10859728411.3432,0,0,0
817698.534607842,0,0.429869521981402,10859728411.3432,0,0,0
978263.549629224,0,0.429880937376202,10859728411.3432,0,0,0
1190141.86212996,0,0.429892352771001,10859728411.3432,0,0,0
1348320.55604499,0,0.429903768165801,10859728411.3432,0,0,0
586714.694924864,0,0.429915183560601,10859728411.3432,0,0,0
1100711.42105399,0,0.429926598955401,10859728411.3432,0,0,0
348957.481083683,0,0.429938014350201,10859728411.3432,0,0,0
890378.603355116,0,0.429949429745001,10859728411.3432,0,0,0
1935239.6272952,0,0.429960845139801,10859728411.3432,0,0,0
97849.5487678932,0,0.429972260534601,10859728411.3432,0,0,0
1141072.89983435,0,0.429983675929401,10859728411.3432,0,0,0
1110933.0604199,0,0.429995091324201,10859728411.3432,0,0,0
1061749.16202527,0,0.430006506719001,10859728411.3432,0,0,0
244404.3576876,0,0.430017922113801,10859728411.3432,0,0,0
1386690.20002653,0,0.430029337508601,10859728411.3432,0,0,0
821673.32866385,0,0.430040752903401,10859728411.3432,0,0,0
652024.514640262,0,0.430052168298201,10859728411.3432,0,0,0
776615.488702958,0,0.430063583693001,10859728411.3432,0,0,0
1134312.58203731,0,0.430074999087801,10859728411.3432,0,0,0
921821.789077711,0,0.4300864144826,10859728411.3432,0,0,0
1564646.61711484,0,0.4300978298774,10859728411.3432,0,0,0
1685638.26967756,0,0.4301092452722,10859728411.3432,0,0,0
427672.2047009,0,0.430120660667,10859728411.3432,0,0,0
1861152.64045167,0,0.4301320760618,10859728411.3432,0,0,0
1228467.54240178,0,0.4301434914566,10859728411.3432,0,0,0
568364.185113448,0,0.4301549068514,10859728411.3432,0,0,0
822950.257707372,0,0.4301663222462,10859728411.3432,0,0,0
833914.652522298,0,0.430177737641,10859728411.3432,0,0,0
632743.231070728,0,0.4301891530358,10859728411.3432,0,0,0
815083.631441366,0,0.4302005684306,10859728411.3432,0,0,0
802126.344194785,0,0.4302119838254,10859728411.3432,0,0,0
979295.511768386,0,0.4302233992202,10859728411.3432,0,0,0
264877.977049053,0,0.430234814615,10859728411.3432,0,0,0
885067.527784334,0,0.4302462300098,10859728411.3432,0,0,0
600506.429837124,0,0.4302576454046,10859728411.3432,0,0,0
1496514.92353989,0,0.4302690607994,10859728411.3432,0,0,0
585238.970361653,0,0.430280476194199,10859728411.3432,0,0,0
568231.656699412,0,0.430291891588999,10859728411.3432,0,0,0
1555564.17753721,0,0.430303306983799,10859728411.3432,0,0,0
1407964.11915034,0,0.430314722378599,10859728411.3432,0,0,0
1242125.68394074,0,0.430326137773399,10859728411.3432,0,0,0
878487.47361774,0,0.430337553168199,10859728411.3432,0,0,0
169037.92820228,0,0.430348968562999,10859728411.3432,0,0,0
1233983.51938647,0,0.430360383957799,10859728411.3432,0,0,0
155993.046194707,0,0.430371799352599,10859728411.3432,0,0,0
475471.944162822,0,0.430383214747399,10859728411.3432,0,0,0
1336538.58953775,0,0.430394630142199,10859728411.3432,0,0,0
514282.849234221,0,0.430406045536999,10859728411.3432,0,0,0
906434.913405708,0,0.430417460931799,10859728411.3432,0,0,0
1301560.69635777,0,0.430428876326599,10859728411.3432,0,0,0
1582785.04340994,0,0.430440291721399,10859728411.3432,0,0,0
866431.057851049,0,0.430451707116199,10859728411.3432,0,0,0
904335.255571182,0,0.430463122510999,10859728411.3432,0,0,0
541180.753886973,0,0.430474537905798,10859728411.3432,0,0,0
699964.435084601,0,0.430485953300598,10859728411.3432,0,0,0
367673.698979654,0,0.430497368695398,10859728411.3432,0,0,0
824295.871733545,0,0.430508784090198,10859728411.3432,0,0,0
644030.048211673,0,0.430520199484998,10859728411.3432,0,0,0
1248684.54505692,0,0.430531614879798,10859728411.3432,0,0,0
1360292.27229772,0,0.430543030274598,10859728411.3432,0,0,0
1367453.6538579,0,0.430554445669398,10859728411.3432,0,0,0
1130955.52669097,0,0.430565861064198,10859728411.3432,0,0,0
703756.781970501,0,0.430577276458998,10859728411.3432,0,0,0
1185707.04366876,0,0.430588691853798,10859728411.3432,0,0,0
822062.390029693,0,0.430600107248598,10859728411.3432,0,0,0
775949.716052718,0,0.430611522643398,10859728411.3432,0,0,0
927871.177789178,0,0.430622938038198,10859728411.3432,0,0,0
536018.289721309,0,0.430634353432998,10859728411.3432,0,0,0
664541.839560168,0,0.430645768827798,10859728411.3432,0,0,0
591777.356785247,0,0.430657184222598,10859728411.3432,0,0,0
823425.248799206,0,0.430668599617398,10859728411.3432,0,0,0
80562.7869285852,0,0.430680015012197,10859728411.3432,0,0,0
961756.345683969,0,0.430691430406997,10859728411.3432,0,0,0
1419883.51982449,0,0.430702845801797,10859728411.3432,0,0,0
374382.424172395,0,0.430714261196597,10859728411.3432,0,0,0
1444665.48703111,0,0.430725676591397,10859728411.3432,0,0,0
1549590.7815726,0,0.430737091986197,10859728411.3432,0,0,0
530631.967312001,0,0.430748507380997,10859728411.3432,0,0,0
1018726.33040256,0,0.430759922775797,10859728411.3432,0,0,0
807343.154225444,0,0.430771338170597,10859728411.3432,0,0,0
869360.081523308,0,0.430782753565397,10859728411.3432,0,0,0
1561357.45379203,0,0.430794168960197,10859728411.3432,0,0,0
360420.749524574,0,0.430805584354997,10859728411.3432,0,0,0
1216301.63927439,0,0.430816999749797,10859728411.3432,0,0,0
621627.04524781,0,0.430828415144597,10859728411.3432,0,0,0
1158868.08639778,0,0.430839830539397,10859728411.3432,0,0,0
1567306.14881506,0,0.430851245934197,10859728411.3432,0,0,0
227251.77438723,0,0.430862661328997,10859728411.3432,0,0,0
222032.702330647,0,0.430874076723796,10859728411.3432,0,0,0
1037741.50767781,0,0.430885492118596,10859728411.3432,0,0,0
1521178.60133154,0,0.430896907513396,10859728411.3432,0,0,0
434080.456072155,0,0.430908322908196,10859728411.3432,0,0,0
992329.147962218,0,0.430919738302996,10859728411.3432,0,0,0
1107410.40591704,0,0.430931153697796,10859728411.3432,0,0,0
1629428.81729475,0,0.430942569092596,10859728411.3432,0,0,0
417042.518203938,0,0.430953984487396,10859728411.3432,0,0,0
945489.588643241,0,0.430965399882196,10859728411.3432,0,0,0
1112368.85857112,0,0.430976815276996,10859728411.3432,0,0,0
1779787.69695903,0,0.430988230671796,10859728411.3432,0,0,0
1010883.85424513,0,0.430999646066596,10859728411.3432,0,0,0
931744.051248452,0,0.431011061461396,10859728411.3432,0,0,0
945219.068555515,0,0.431022476856196,10859728411.3432,0,0,0
895622.258029932,0,0.431033892250996,10859728411.3432,0,0,0
1676569.73688572,0,0.431045307645796,10859728411.3432,0,0,0
993923.761563228,0,0.431056723040595,10859728411.3432,0,0,0
424677.166844135,0,0.431068138435395,10859728411.3432,0,0,0
1338648.02977303,0,0.431079553830195,10859728411.3432,0,0,0
266386.118499032,0,0.431090969224995,10859728411.3432,0,0,0
1123381.37715517,0,0.431102384619795,10859728411.3432,0,0,0
913570.670280194,0,0.431113800014595,10859728411.3432,0,0,0
598255.84563965,0,0.431125215409395,10859728411.3432,0,0,0
1703494.04012926,0,0.431136630804195,10859728411.3432,0,0,0
1418761.40681762,0,0.431148046198995,10859728411.3432,0,0,0
1513089.85839817,0,0.431159461593795,10859728411.3432,0,0,0
1021335.04431391,0,0.431170876988595,10859728411.3432,0,0,0
